,appeal_count,money_invested
贵州茅台,340.0,4014380450.0
五 粮 液,274.0,3563388190.0
泸州老窖,115.0,2998617430.0
格力电器,230.0,2196388330.0000005
顺鑫农业,76.0,2107875160.0
山西汾酒,73.0,1894340350.0
美的集团,202.0,1840599940.0
古井贡酒,51.0,1731972730.0
中信证券,191.0,1549645220.0
洋河股份,87.0,1528016970.0
伊利股份,178.0,1051675590.0
海通证券,74.0,924111770.0
中国平安,167.0,677928820.0000001
华泰证券,88.0,653672360.0
东方财富,108.0,611671870.0
国泰君安,80.0,604402080.0
招商银行,143.0,544636090.0
口子窖,34.0,474888640.0
今世缘,59.0,460194270.0
招商证券,82.0,381128860.0
恒瑞医药,158.0,376553480.0
申万宏源,66.0,334461900.0
兴业银行,132.0,321329320.0
东阿阿胶,11.0,315420090.0
广发证券,45.0,293029380.0
东方证券,82.0,279383970.0
方正证券,80.0,257614560.0
长春高新,57.0,228691870.0
海天味业,82.0,226781420.0
双汇发展,53.0,220714080.0
水井坊,10.0,220610880.0
平安银行,48.0,205703090.0
安井食品,39.0,192863640.0
新经典,9.0,163032400.0
长城汽车,12.0,148327540.0
温氏股份,105.0,141604700.0
盈趣科技,9.0,140943200.0
牧原股份,131.0,136151530.0
迈瑞医疗,56.0,121634000.0
万  科Ａ,86.0,121197280.0
桃李面包,12.0,113425080.0
中国建筑,12.0,103429190.00000001
中国重工,10.0,98296340.0
春秋航空,10.0,91249980.0
海大集团,42.0,90013880.0
爱尔眼科,54.0,89299360.0
保利地产,18.0,84819580.0
宁德时代,44.0,82728030.0
立讯精密,42.0,81963830.0
中炬高新,68.0,81963430.0
安琪酵母,10.0,80432960.00000001
新 希 望,102.0,78284890.0
工商银行,39.0,76058610.0
老板电器,11.0,75416269.99999999
民生银行,54.0,75270510.0
中国太保,22.0,74132290.0
交通银行,39.0,70947530.0
药明康德,26.0,70852800.0
宁波银行,35.0,69832240.0
完美世界,43.0,68932880.0
泰格医药,49.0,68748990.0
浦发银行,49.0,66543020.0
海尔智家,21.0,65890240.0
通策医疗,18.0,63944180.0
中航飞机,8.0,63879050.0
农业银行,25.0,61724220.0
中航光电,12.0,61643290.0
乐普医疗,48.0,59711350.0
海格通信,10.0,55786640.0
航发动力,7.0,54745310.0
中国国旅,57.0,49564420.0
华帝股份,12.0,47284979.99999999
华测检测,6.0,44024420.0
山东药玻,14.0,43851760.0
海康威视,37.0,42655720.0
卫 士 通,8.0,42419850.0
青岛啤酒,18.0,42244140.0
三一重工,15.0,42135470.0
丽珠集团,6.0,41094300.0
中国人寿,13.0,40008040.0
中直股份,9.0,39940310.0
紫金矿业,24.0,39309570.0
星宇股份,12.0,38390350.0
康泰生物,17.0,37985260.0
健帆生物,23.0,37241320.0
隆基股份,14.0,35612320.0
中国动力,6.0,35534570.0
顾家家居,11.0,35094150.0
中航沈飞,6.0,34961540.0
大华股份,5.0,34884320.0
航天电子,6.0,34166530.0
中国神华,9.0,33769330.0
海螺水泥,25.0,33080730.0
圣农发展,15.0,32065560.0
万华化学,14.0,30750960.0
腾讯控股,5.0,30350800.000000007
北京银行,16.0,29794900.0
家家悦,32.0,29743460.0
芒果超媒,10.0,29534960.0
美年健康,11.0,29312340.000000004
绝味食品,11.0,28483370.0
大秦铁路,15.0,28454440.0
中兴通讯,14.0,28272350.0
中国铁建,18.0,26419330.0
沃森生物,29.0,26409590.0
兴业证券,42.0,26194939.999999996
汤臣倍健,13.0,26047520.0
中国中车,14.0,26017870.0
恒力石化,7.0,25409900.0
重庆啤酒,8.0,25057920.0
亿纬锂能,18.0,24732940.000000004
京东方Ａ,18.0,24663640.0
中国中铁,14.0,24018070.0
安图生物,2.0,23681480.0
天齐锂业,17.0,23617300.0
信维通信,26.0,23480680.0
贝达药业,4.0,23251120.0
汇川技术,18.0,23143630.0
迈克生物,18.0,23024270.000000004
中南建设,6.0,22743770.0
祥生医疗,8.0,22590719.999999996
普利制药,27.0,22548880.0
山东黄金,11.0,22309890.0
仙坛股份,8.0,22297600.0
珠江啤酒,8.0,21159360.0
万科企业,3.0,20897060.000000004
建设银行,16.0,20817300.0
昭衍新药,16.0,20812800.0
