,appeal_count,money_invested
新华保险,9.0,19407090.0
金地集团,11.0,19380040.0
华熙生物,8.0,18965519.999999996
三七互娱,14.0,18486360.0
东阳光,3.0,17691340.0
康龙化成,2.0,17630940.0
太阳纸业,12.0,17460040.0
金域医学,7.0,17373550.0
我武生物,5.0,17284590.0
南极电商,32.0,17145080.0
敏华控股,3.0,16850880.0
洛阳钼业,10.0,16778440.0
蒙娜丽莎,9.0,16579079.999999998
天康生物,8.0,16240640.0
通化东宝,6.0,15711730.0
爱朋医疗,8.0,15263999.999999998
分众传媒,18.0,15258290.0
华友钴业,14.0,15022460.0
凯莱英,11.0,14843240.0
国药一致,3.0,14413720.0
欣旺达,10.0,14193529.999999998
赣锋锂业,12.0,14097310.0
药石科技,4.0,13941010.0
南微医学,3.0,13668730.0
中国石化,15.0,13503650.0
集友股份,15.0,13210040.000000002
长江电力,23.0,13020790.0
启明星辰,10.0,12890420.0
韦尔股份,7.0,12818250.0
潍柴动力,16.0,12672340.0
顺丰控股,2.0,12543459.999999998
宋城演艺,20.0,12369430.0
复星医药,6.0,12344350.0
视源股份,1.0,12184239.999999998
老百姓,6.0,11766960.0
兆易创新,5.0,11672390.0
华东医药,1.0,11377410.0
方大特钢,4.0,11368650.0
海螺创业,1.0,10969200.0
华侨城Ａ,8.0,10910130.0
北方稀土,5.0,10868640.0
中信特钢,20.0,10693330.0
林洋能源,4.0,10677799.999999998
歌尔股份,10.0,10605090.0
智飞生物,11.0,10542909.999999998
国瓷材料,2.0,10508170.0
健友股份,13.0,10497860.0
中国铝业,5.0,10463230.0
光环新网,16.0,10044149.999999998
广联达,2.0,10042650.0
生物股份,12.0,9907980.0
欧普照明,3.0,9781119.999999996
正邦科技,2.0,9625940.000000002
海信家电,3.0,9408680.0
广汽集团,1.0,9401840.0
健康元,1.0,9383740.0
东方雨虹,5.0,9362640.0
地素时尚,3.0,9239640.0
三钢闽光,4.0,9217550.0
格林美,6.0,9187320.0
帝欧家居,1.0,9116410.0
招商蛇口,8.0,9014200.0
浪潮信息,4.0,8930229.999999998
华夏幸福,9.0,8921430.0
汇顶科技,5.0,8880949.999999998
TCL科技,6.0,8794910.0
洽洽食品,7.0,8710240.0
华润置地,1.0,8680840.0
光大银行,16.0,8618830.0
三花智控,4.0,8546330.0
星源材质,1.0,8537399.999999998
生益科技,4.0,8331650.0
邮储银行,33.0,8192630.0
玲珑轮胎,7.0,8066360.0
大族激光,2.0,7945140.0
万润股份,4.0,7942690.0
旗滨集团,12.0,7891400.0
中国长城,14.0,7737330.000000001
闻泰科技,23.0,7736710.0
锐科激光,1.0,7679350.0
国电南瑞,4.0,7663870.0
大参林,2.0,7597540.0
鹏鼎控股,1.0,7412500.0
新 和 成,4.0,7304350.000000001
金山办公,6.0,7224840.0
桐昆股份,10.0,7186740.0
华兰生物,11.0,7026919.999999999
顺络电子,5.0,6831480.000000001
蓝光发展,10.0,6697630.0
金山软件,1.0,6670160.0
韵达股份,9.0,6586310.0
金陵体育,1.0,6530680.000000001
柳钢股份,4.0,6518220.0
国恩股份,3.0,6365350.0
山西证券,4.0,6285900.0
欧普康视,1.0,6260900.0
金钼股份,5.0,6240720.0
卫宁健康,9.0,6232330.000000001
南钢股份,5.0,6207440.000000001
恒生电子,6.0,6112370.0
伟明环保,4.0,6089650.0
陕西煤业,6.0,5935340.0
北新建材,4.0,5878200.0
联化科技,8.0,5789200.0
光明乳业,9.0,5686600.0
隧道股份,13.0,5600240.0
洲明科技,2.0,5551860.0
杰瑞股份,16.0,5347040.0
杰克股份,1.0,5343800.0
慈文传媒,1.0,5338560.000000001
南京银行,7.0,5332820.0
四维图新,4.0,5236620.000000002
天地科技,2.0,5210500.0
华新水泥,9.0,5195760.0
立思辰,2.0,5166780.0
威高股份,2.0,5139959.999999998
九洲药业,3.0,5123479.999999999
江海股份,1.0,5101900.0
卧龙电驱,10.0,5063280.0
吉祥航空,2.0,5026600.0
博腾股份,2.0,5026019.999999999
天能重工,2.0,5023310.0
大博医疗,18.0,5018930.0
片仔癀,10.0,4960850.0
广深铁路,8.0,4923200.0
特锐德,8.0,4879760.0
旷达科技,2.0,4840340.0
华鲁恒升,21.0,4817050.0
益丰药房,3.0,4789360.0
新城控股,4.0,4622500.0
光线传媒,24.0,4612510.0
天坛生物,3.0,4491140.0
东睦股份,2.0,4473300.0
颐海国际,16.0,4465680.0
当升科技,3.0,4419500.0
海信视像,2.0,4413600.0
仙琚制药,1.0,4363040.0
国机汽车,2.0,4352300.0
中国软件,4.0,4324570.0
内蒙一机,8.0,4257120.0
中国石油,5.0,4238410.0
东山精密,17.0,4227579.999999999
金达威,5.0,4122080.0
美团点评-W,4.0,4120740.0000000005
中信银行,9.0,4112190.0
吉宏股份,1.0,4102400.0
中国银行,5.0,4050620.0
长信科技,2.0,4012950.0
美锦能源,4.0,3988720.0
依顿电子,2.0,3794190.0
中航高科,2.0,3757050.0
中国财险,2.0,3683730.0
华联控股,3.0,3683160.0
龙蟒佰利,4.0,3646710.0
兖州煤业,3.0,3570440.0
荣盛发展,3.0,3553250.0
西山煤电,3.0,3519900.0
爱建集团,9.0,3452310.000000001
司太立,16.0,3434400.0
绿地控股,5.0,3415000.0
金风科技,3.0,3349680.0
神州高铁,8.0,3344880.0
云南白药,10.0,3283330.0
康力电梯,8.0,3280510.0
通威股份,8.0,3276720.0000000005
鱼跃医疗,2.0,3215800.0
中文传媒,6.0,3188730.000000001
比音勒芬,1.0,3183840.0
齐心集团,1.0,3044480.0
华策影视,1.0,3044480.0
贵阳银行,5.0,3036500.0
中国人保,5.0,2994190.0
荣泰健康,2.0,2984810.0
沪电股份,18.0,2785540.0
上汽集团,23.0,2740400.0000000005
天顺风能,1.0,2733599.9999999995
国药股份,4.0,2729110.0
阳泉煤业,2.0,2709040.0
绿城服务,16.0,2671680.0
马钢股份,2.0,2661240.0
安科生物,1.0,2657800.0
再升科技,1.0,2637120.0
常熟银行,18.0,2630000.0
滨江集团,1.0,2602459.9999999995
江苏银行,7.0,2599950.0
科伦药业,2.0,2597399.9999999995
长安汽车,4.0,2572400.0
江苏租赁,3.0,2544450.0000000005
拉卡拉,2.0,2533760.0
宇通客车,3.0,2518420.0
中联重科,3.0,2472790.0
九鼎投资,2.0,2465280.0
宝泰隆,2.0,2451640.0
中材国际,1.0,2431170.0000000005
云南铜业,2.0,2412690.0000000005
华大基因,3.0,2381790.0
锦江酒店,4.0,2346850.0
坚朗五金,1.0,2336960.0000000005
万达电影,3.0,2301760.0
星徽精密,2.0,2259840.0
中科创达,1.0,2232620.0
苏 泊 尔,2.0,2161680.0
奥飞娱乐,2.0,2157120.0
中顺洁柔,1.0,2150900.0
绿盟科技,1.0,2115750.0
新国都,7.0,2111870.0
中国巨石,2.0,2098690.0
泰胜风能,2.0,2067200.0000000002
晨光文具,2.0,2061029.9999999995
上海莱士,1.0,2046079.9999999995
以岭药业,4.0,2027680.0
紫光国微,12.0,2022010.0
万孚生物,3.0,2004700.0
海王生物,2.0,1989520.0
济民制药,2.0,1989520.0
昆仑万维,4.0,1984300.0
水晶光电,7.0,1972950.0000000002
雅戈尔,3.0,1939040.0
明泰铝业,4.0,1866250.0
紫光股份,1.0,1861860.0
露天煤业,3.0,1860640.0
太平洋,22.0,1846959.9999999998
瀚蓝环境,5.0,1834440.0
长电科技,10.0,1833690.0
中公教育,1.0,1801800.0
心脉医疗,1.0,1798920.0
宇华教育,1.0,1779120.0
潞安环能,2.0,1733160.0000000002
久立特材,3.0,1722199.9999999998
正泰电器,5.0,1708790.0
科大讯飞,8.0,1700630.0
徐工机械,5.0,1691620.0
祁连山,11.0,1674260.0
盘江股份,1.0,1646280.0
冀东水泥,9.0,1643750.0
金科股份,1.0,1625880.0
葛洲坝,2.0,1614550.0000000002
山西焦化,1.0,1614000.0
云煤能源,1.0,1608620.0
陕西黑猫,1.0,1608620.0
吉比特,10.0,1569649.9999999998
中国联通,3.0,1537760.0
云海金属,1.0,1537200.0
宁沪高速,4.0,1526060.0
良信电器,2.0,1513300.0
中煤能源,1.0,1504360.0
天茂集团,2.0,1488830.0
白云山,6.0,1485420.0
中国广核,14.0,1475280.0
张  裕Ａ,1.0,1459350.0000000002
上海银行,6.0,1383590.0
香飘飘,1.0,1338650.0
威海广泰,1.0,1329300.0
浙商银行,14.0,1280880.0
引力传媒,15.0,1278800.0
东北证券,6.0,1221350.0
中国电建,1.0,1211730.0
四通新材,1.0,1184400.0
蓝思科技,1.0,1168800.0
卓胜微,1.0,1146600.0
扬农化工,12.0,1142130.0
晶丰明源,1.0,1082900.0
梦网集团,3.0,1038800.0
中南传媒,3.0,966380.0
比亚迪,7.0,954690.0
云图控股,1.0,950040.0
华海药业,1.0,942779.9999999998
九州通,1.0,937080.0000000002
当代明诚,3.0,921350.0
上港集团,2.0,918060.0000000002
深高速,3.0,917540.0
天音控股,1.0,906360.0000000002
建发股份,1.0,904200.0000000002
塔牌集团,5.0,903340.0
游族网络,4.0,901510.0
钢研高纳,1.0,899080.0000000002
威孚高科,5.0,898380.0
众业达,1.0,895440.0
普洛药业,1.0,880880.0
恒源煤电,1.0,877240.0
华电国际,1.0,871320.0000000002
中国金茂,1.0,870750.0
奥拓电子,3.0,857970.0
鲁阳节能,1.0,855400.0
新钢股份,2.0,839040.0
森马服饰,1.0,833339.9999999999
惠伦晶体,15.0,827050.0
梅花生物,5.0,826050.0
新集能源,1.0,823680.0
中体产业,3.0,815870.0
日出东方,15.0,806199.9999999999
顺网科技,3.0,791370.0
中国交建,1.0,785850.0000000001
华夏银行,2.0,775200.0
成都银行,1.0,770960.0000000001
达华智能,15.0,757550.0000000001
硅宝科技,1.0,754850.0
国电电力,3.0,752800.0
华域汽车,6.0,752020.0
爱婴室,1.0,746699.9999999999
老凤祥,1.0,735299.9999999999
中国中冶,1.0,730080.0
上海建工,3.0,726790.0
浙数文化,1.0,725200.0000000001
渝农商行,10.0,722800.0000000001
盛通股份,15.0,715850.0
和晶科技,15.0,715850.0
探路者,15.0,708900.0
迪马股份,2.0,706800.0
江苏索普,2.0,706800.0
金龙机电,15.0,701950.0
邦讯技术,15.0,701950.0
奥佳华,1.0,701040.0
华润啤酒,3.0,698070.0
尚品宅配,1.0,697679.9999999999
万润科技,15.0,695000.0
裕同科技,1.0,688559.9999999999
粤高速Ａ,6.0,687780.0
麦格米特,1.0,674450.0
深振业Ａ,20.0,666240.0
中环股份,2.0,665550.0
赛轮轮胎,3.0,652660.0
云铝股份,3.0,652580.0
物产中大,2.0,643570.0
长沙银行,1.0,642160.0
方大炭素,4.0,638630.0
亿联网络,1.0,625050.0
三角轮胎,5.0,623200.0
克来机电,1.0,585600.0
中国化学,1.0,579670.0
澜起科技,1.0,579600.0
宝钢股份,6.0,577610.0
福斯特,1.0,576810.0
金禾实业,1.0,563040.0
中材科技,2.0,544130.0
先导智能,5.0,541720.0
华润燃气,3.0,540800.0
中鼎股份,1.0,528080.0
金 螳 螂,1.0,517140.0
重庆百货,1.0,503840.0
光威复材,4.0,497200.0
凯利泰,2.0,497200.0
首开股份,4.0,493120.0
东方日升,4.0,492900.0
蒙牛乳业,4.0,487530.0
龙净环保,1.0,486540.0
永辉超市,8.0,473600.0
青岛啤酒股份,2.0,470400.00000000006
中国海洋石油,2.0,466200.00000000006
华工科技,3.0,463880.0
富安娜,1.0,460000.0
金隅集团,2.0,454680.0
富森美,4.0,454570.0
纳思达,1.0,452920.0
深圳能源,6.0,450870.0
海油工程,3.0,437200.0
恩捷股份,3.0,436740.0
中海油服,2.0,431660.0
凤凰传媒,3.0,430610.0
步 步 高,2.0,429400.0
赢时胜,2.0,429400.0
东吴证券,2.0,426880.0
高鑫零售,2.0,425250.0
蓝晓科技,2.0,412450.0
佳发教育,2.0,401150.0
同花顺,3.0,396600.0
郑煤机,5.0,395450.0
淮北矿业,2.0,389120.0
上海钢联,5.0,386880.0
银泰黄金,3.0,384810.0
中青旅,2.0,383480.0
新奥能源,2.0,383250.0
亚泰集团,2.0,379080.0
深信服,3.0,375660.0
上海机场,3.0,362180.0
山大华特,1.0,343540.0
蓝色光标,4.0,335870.0
美亚光电,1.0,329639.9999999999
隆鑫通用,2.0,312000.00000000006
申洲国际,3.0,303380.0
寒锐钴业,5.0,283300.0
宝通科技,1.0,278320.0
石药集团,3.0,263980.0
新媒股份,1.0,263410.0
索菲亚,3.0,260400.00000000006
钱江摩托,16.0,260400.0
运达科技,16.0,260400.0
东方国信,2.0,257850.0
粤宏远Ａ,16.0,257600.0
华东数控,16.0,257600.0
青龙管业,16.0,257600.0
宏达矿业,16.0,257600.0
天山股份,2.0,255940.0
东百集团,16.0,254800.0
亚太科技,8.0,253120.0
江中药业,2.0,252120.0
拓邦股份,1.0,250630.0
中远海能,2.0,249280.0
欧菲光,3.0,246300.0
东方盛虹,2.0,242570.0
株冶集团,8.0,239680.00000000003
高德红外,4.0,238750.0
康缘药业,3.0,238280.0
宏创控股,8.0,235200.00000000003
东方明珠,5.0,234150.0
北陆药业,2.0,232000.0
拓普集团,2.0,227880.0
浙江美大,2.0,227650.0
太阳能,3.0,226759.99999999997
喜临门,1.0,223960.0
世纪瑞尔,8.0,221760.00000000003
华虹计通,8.0,215040.00000000003
科远智慧,8.0,212800.00000000003
百邦科技,8.0,212800.00000000003
帝尔激光,2.0,205900.0
世纪华通,1.0,196510.0
华泰股份,3.0,189640.0
七一二,1.0,182830.0
烽火通信,3.0,179359.99999999997
国投电力,3.0,179090.0
济川药业,1.0,178120.0
华峰氨纶,1.0,175050.0
思源电气,1.0,167270.0
聚光科技,1.0,163999.99999999997
新 大 陆,2.0,163080.0
华润双鹤,2.0,160920.0
航天信息,1.0,155290.0
阳光照明,2.0,155000.0
华宇软件,4.0,154380.0
深圳高速公路股份,1.0,153250.0
中国西电,2.0,151200.0
山鹰纸业,1.0,150920.0
桂冠电力,1.0,149750.0
杭州银行,2.0,148400.0
中国核建,2.0,146880.0
白云机场,1.0,145920.0
三安光电,6.0,144140.0
宝信软件,3.0,142839.99999999997
掌趣科技,1.0,141900.0
中国核电,2.0,141880.0
天津港,2.0,140400.0
皖维高新,3.0,138920.0
浙江鼎力,1.0,135659.99999999997
贵人鸟,2.0,135150.0
国投资本,19.0,132740.0
财通证券,17.0,131960.0
柳药股份,3.0,129840.00000000001
金发科技,5.0,128899.99999999999
阳 光 城,1.0,122200.0
圣邦股份,4.0,121940.00000000001
禾丰牧业,3.0,121070.0
中国移动,1.0,119750.0
深圳燃气,1.0,119750.0
粤海投资,1.0,119249.99999999997
华天科技,2.0,110080.00000000001
银河娱乐,2.0,108360.00000000001
广电运通,4.0,108180.0
汉威科技,1.0,107419.99999999997
凤凰股份,2.0,105060.0
久远银海,2.0,104549.99999999999
先河环保,1.0,104549.99999999997
新奥股份,2.0,104279.99999999999
荣科科技,2.0,103020.0
华录百纳,2.0,103020.0
中国宏桥,2.0,102760.0
双箭股份,2.0,102509.99999999999
星网锐捷,2.0,101910.00000000001
瀚叶股份,3.0,101639.99999999999
应流股份,2.0,101639.99999999999
火炬电子,2.0,101639.99999999999
共进股份,2.0,98999.99999999999
华润三九,2.0,98700.0
珀莱雅,2.0,97679.99999999999
太极实业,1.0,97280.0
金沙中国有限公司,2.0,95760.00000000001
梦百合,1.0,95000.0
赢合科技,1.0,94600.00000000001
上海凯宝,2.0,94500.0
中天金融,2.0,93740.00000000003
璞泰来,3.0,93740.00000000001
华灿光电,1.0,93740.00000000001
众生药业,2.0,92400.0
康弘药业,2.0,92050.0
利亚德,1.0,92020.0
马应龙,2.0,91700.0
黄山胶囊,2.0,91350.0
思维列控,1.0,91200.0
圆通速递,2.0,88919.99999999999
西部矿业,3.0,88050.0
西藏珠峰,3.0,86800.0
宁夏建材,1.0,86240.00000000001
H&H国际控股,2.0,86000.00000000001
创科实业,2.0,82800.0
南方传媒,1.0,82320.00000000001
中国宝安,1.0,79360.0
伊力特,1.0,77280.00000000001
宁波华翔,1.0,71780.0
养元饮品,1.0,71600.0
中金岭南,2.0,70400.0
柳工,2.0,69760.0
志邦家居,2.0,69400.00000000001
中国生物制药,2.0,68580.0
木林森,2.0,66560.0
太辰光,2.0,64800.0
江西铜业,3.0,62410.0
新宙邦,2.0,62400.0
吉利汽车,2.0,60300.00000000001
康达新材,2.0,57810.0
药明生物,2.0,57600.00000000001
厦门港务,2.0,56990.0
中原高速,2.0,54120.0
东华软件,3.0,53100.0
飞荣达,2.0,51250.0
大连重工,2.0,50840.0
通宇通讯,2.0,50840.0
北方华创,3.0,49440.0
金 融 街,1.0,44220.0
富祥股份,2.0,43680.0
禾望电气,2.0,42960.0
航天动力,2.0,41040.0
航天长峰,2.0,40080.0
同济科技,2.0,39120.0
中国电影,2.0,38250.0
天风证券,1.0,34840.0
浙商证券,1.0,34840.0
中信建投,1.0,34580.0
张江高科,2.0,34200.0
中国银河,1.0,32500.0
长城证券,1.0,31460.0
无锡银行,2.0,29410.0
华发股份,3.0,28500.0
恒立液压,4.0,27840.0
太极股份,2.0,27370.0
中集集团,1.0,25620.0
同方股份,1.0,25620.0
江淮汽车,1.0,24780.0
中天科技,1.0,23939.999999999996
国金证券,1.0,23920.0
国信证券,3.0,21180.0
国海证券,1.0,19840.0
招商轮船,3.0,19110.0
渤海轮渡,1.0,18900.000000000004
中广天择,2.0,16830.0
步长制药,1.0,16240.0
熙菱信息,2.0,16170.0
达志科技,2.0,15290.0
山东高速,1.0,15190.000000000004
小商品城,1.0,14190.0
昊华科技,2.0,13090.0
劲胜智能,2.0,12649.999999999998
陆家嘴,1.0,12119.999999999998
上海临港,1.0,12119.999999999998
上海电气,1.0,12119.999999999998
苏宁易购,1.0,10890.0
赛福天,2.0,10670.0
荣盛石化,1.0,10080.000000000002
横河模具,2.0,9570.0
华谊兄弟,2.0,9030.0
超图软件,2.0,9030.0
山煤国际,2.0,9020.0
省广集团,2.0,8800.0
亿通科技,2.0,8800.0
欧派家居,1.0,8770.0
长江证券,2.0,6870.0
利欧股份,2.0,6460.0
睿创微纳,1.0,5610.0
微芯生物,2.0,4620.000000000001
新湖中宝,2.0,2550.0
深天马Ａ,1.0,2080.0
海航控股,2.0,1830.0
辽宁成大,2.0,1830.0
三六零,1.0,1790.0
景嘉微,1.0,1440.0
华塑控股,1.0,1300.0
广晟有色,3.0,1229.9999999999998
福耀玻璃,2.0,1220.0
和邦生物,1.0,980.0
科安达,4.0,0.0
神驰机电,4.0,0.0
川投能源,2.0,0.0
杉杉股份,2.0,0.0
江苏新能,2.0,0.0
新疆交建,2.0,0.0
宏发股份,2.0,0.0
天味食品,2.0,0.0
三美股份,2.0,0.0
飞科电器,2.0,0.0
太平鸟,2.0,0.0
丸美股份,2.0,0.0
侨银环保,2.0,0.0
亚光科技,2.0,0.0
中国应急,2.0,0.0
新余国科,2.0,0.0
华菱钢铁,1.0,0.0
安集科技,1.0,0.0
八亿时空,1.0,0.0
佰仁医疗,1.0,0.0
华特气体,1.0,0.0
宏图高科,1.0,0.0
中化国际,1.0,0.0
