,同比机构投资增加个数,同比机构投资增加额,同比机构投资弹性,同比机构追加投资比例
火炬电子,-6,-143821560,654.66%,-1.38%
柳药股份,-6,-195385500,-29.17%,-2.38%
古井贡酒,,,nan%,nan%
水井坊,,,nan%,nan%
康龙化成,,,nan%,nan%
威高股份,,,nan%,nan%
工商银行,,,nan%,nan%
交通银行,,,nan%,nan%
建设银行,,,nan%,nan%
农业银行,,,nan%,nan%
中国人寿,,,nan%,nan%
阳光电源,,,nan%,nan%
新宙邦,,,nan%,nan%
富力地产,,,nan%,nan%
鹏鼎控股,,,nan%,nan%
金蝶国际,,,nan%,nan%
宏发股份,,,nan%,nan%
禹洲地产,,,nan%,nan%
远洋集团,,,nan%,nan%
药明生物,,,nan%,nan%
合景泰富集团,,,nan%,nan%
雅居乐集团,,,nan%,nan%
互太纺织,,,nan%,nan%
正通汽车,,,nan%,nan%
中骏集团控股,,,nan%,nan%
韵达股份,,,nan%,nan%
捷佳伟创,,,nan%,nan%
中国奥园,,,nan%,nan%
海通国际,,,nan%,nan%
中国重汽,,,nan%,nan%
视源股份,,,nan%,nan%
中国银行,,,nan%,nan%
欧普照明,,,nan%,nan%
帝欧家居,,,nan%,nan%
腾讯控股,,,nan%,nan%
星源材质,,,nan%,nan%
汇丰控股,,,nan%,nan%
国投电力,,,nan%,nan%
拓普集团,,,nan%,nan%
川投能源,,,nan%,nan%
蓝焰控股,,,nan%,nan%
正海磁材,,,nan%,nan%
国网信通,,,nan%,nan%
晶方科技,,,nan%,nan%
华正新材,,,nan%,nan%
八方股份,,,nan%,nan%
伟明环保,,,nan%,nan%
天虹股份,,,nan%,nan%
杰克股份,,,nan%,nan%
江海股份,,,nan%,nan%
广汽集团,,,nan%,nan%
益生股份,,,nan%,nan%
国电电力,,,nan%,nan%
风华高科,,,nan%,nan%
邮储银行,,,nan%,nan%
友邦保险,,,nan%,nan%
百润股份,,,nan%,nan%
弘信电子,,,nan%,nan%
碧桂园服务,,,nan%,nan%
中国移动,,,nan%,nan%
北大荒,,,nan%,nan%
恒生银行,,,nan%,nan%
中银香港,,,nan%,nan%
中国财险,,,nan%,nan%
美团点评-W,,,nan%,nan%
中芯国际,,,nan%,nan%
春风动力,,,nan%,nan%
中颖电子,,,nan%,nan%
中国石油化工股份,,,nan%,nan%
特锐德,,,nan%,nan%
中国船舶,,,nan%,nan%
瑞普生物,,,nan%,nan%
苏试试验,,,nan%,nan%
绿城服务,,,nan%,nan%
新易盛,,,nan%,nan%
VTECH HOLDINGS,,,nan%,nan%
亨通光电,,,nan%,nan%
太辰光,,,nan%,nan%
香飘飘,,,nan%,nan%
安踏体育,,,nan%,nan%
中国光大控股,,,nan%,nan%
上海石油化工股份,,,nan%,nan%
鄂武商Ａ,,,nan%,nan%
天孚通信,,,nan%,nan%
广州酒家,,,nan%,nan%
三环集团,,,nan%,nan%
信义玻璃,,,nan%,nan%
深信服,,,nan%,nan%
招商局港口,,,nan%,nan%
中航电测,,,nan%,nan%
中国海洋石油,,,nan%,nan%
晶丰明源,,,nan%,nan%
易华录,,,nan%,nan%
裕元集团,,,nan%,nan%
电讯盈科,,,nan%,nan%
中国银河,,,nan%,nan%
东风集团股份,,,nan%,nan%
广深铁路,,,nan%,nan%
深高速,,,nan%,nan%
中国铝业,,,nan%,nan%
金禾实业,,,nan%,nan%
香港交易所,,,nan%,nan%
哈药股份,,,nan%,nan%
丸美股份,,,nan%,nan%
机器人,,,nan%,nan%
东华能源,,,nan%,nan%
酒鬼酒,,,nan%,nan%
硅宝科技,,,nan%,nan%
奥佳华,,,nan%,nan%
吉祥航空,,,nan%,nan%
中国石油股份,,,nan%,nan%
神州高铁,,,nan%,nan%
麦格米特,,,nan%,nan%
酒钢宏兴,,,nan%,nan%
长沙银行,,,nan%,nan%
中信股份,,,nan%,nan%
东方盛虹,,,nan%,nan%
北方稀土,,,nan%,nan%
中国海外发展,,,nan%,nan%
江铃汽车,,,nan%,nan%
中鼎股份,,,nan%,nan%
重庆百货,,,nan%,nan%
首开股份,,,nan%,nan%
南方航空,,,nan%,nan%
富安娜,,,nan%,nan%
富森美,,,nan%,nan%
中国国航,,,nan%,nan%
佳都科技,,,nan%,nan%
天地科技,,,nan%,nan%
海航科技,,,nan%,nan%
金山软件,,,nan%,nan%
龙净环保,,,nan%,nan%
广汇汽车,,,nan%,nan%
岱美股份,,,nan%,nan%
福田汽车,,,nan%,nan%
大北农,,,nan%,nan%
五矿发展,,,nan%,nan%
隆鑫通用,,,nan%,nan%
华润啤酒,,,nan%,nan%
中科曙光,,,nan%,nan%
淳中科技,,,nan%,nan%
格尔软件,,,nan%,nan%
一汽轿车,,,nan%,nan%
尖峰集团,,,nan%,nan%
燕京啤酒,,,nan%,nan%
广州发展,,,nan%,nan%
数知科技,,,nan%,nan%
三聚环保,,,nan%,nan%
神火股份,,,nan%,nan%
民和股份,,,nan%,nan%
江淮汽车,,,nan%,nan%
江中药业,,,nan%,nan%
康缘药业,,,nan%,nan%
中国卫星,,,nan%,nan%
海 利 得,,,nan%,nan%
长和,,,nan%,nan%
桃李面包,,,nan%,nan%
伯特利,,,nan%,nan%
克来机电,,,nan%,nan%
长实集团,,,nan%,nan%
惠城环保,,,nan%,nan%
凯美特气,,,nan%,nan%
普邦股份,,,nan%,nan%
中环装备,,,nan%,nan%
远达环保,,,nan%,nan%
上海环境,,,nan%,nan%
美亚光电,,,nan%,nan%
天壕环境,,,nan%,nan%
博世科,,,nan%,nan%
中再资环,,,nan%,nan%
华泰股份,,,nan%,nan%
新鸿基地产,,,nan%,nan%
中电控股,,,nan%,nan%
香港中华煤气,,,nan%,nan%
华润双鹤,,,nan%,nan%
理文造纸,,,nan%,nan%
华润燃气,,,nan%,nan%
深圳高速公路股份,,,nan%,nan%
中国西电,,,nan%,nan%
桂冠电力,,,nan%,nan%
彩虹股份,,,nan%,nan%
中国核建,,,nan%,nan%
中际旭创,,,nan%,nan%
天津港,,,nan%,nan%
德赛电池,,,nan%,nan%
建滔集团,,,nan%,nan%
银河娱乐,,,nan%,nan%
华润电力,,,nan%,nan%
玖龙纸业,,,nan%,nan%
胜宏科技,,,nan%,nan%
三利谱,,,nan%,nan%
深圳燃气,,,nan%,nan%
粤海投资,,,nan%,nan%
福晶科技,,,nan%,nan%
海油工程,,,nan%,nan%
新奥股份,,,nan%,nan%
中国宏桥,,,nan%,nan%
共进股份,,,nan%,nan%
珀莱雅,,,nan%,nan%
太极实业,,,nan%,nan%
梦百合,,,nan%,nan%
中天金融,,,nan%,nan%
国恩股份,,,nan%,nan%
中国宝安,,,nan%,nan%
杉杉股份,,,nan%,nan%
中国核电,,,nan%,nan%
万里扬,,,nan%,nan%
泛微网络,,,nan%,nan%
恩华药业,,,nan%,nan%
金溢科技,,,nan%,nan%
可立克,,,nan%,nan%
龙马环卫,,,nan%,nan%
长城证券,,,nan%,nan%
华润水泥控股,,,nan%,nan%
国海证券,,,nan%,nan%
建滔积层板,,,nan%,nan%
中集集团,,,nan%,nan%
同方股份,,,nan%,nan%
中天科技,,,nan%,nan%
国金证券,,,nan%,nan%
鸿泉物联,,,nan%,nan%
华谊兄弟,,,nan%,nan%
希慎兴业,,,nan%,nan%
国信证券,,,nan%,nan%
新湖中宝,,,nan%,nan%
三六零,,,nan%,nan%
科安达,,,nan%,nan%
神驰机电,,,nan%,nan%
景嘉微,,,nan%,nan%
和邦生物,,,nan%,nan%
