,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
661,京新药业,2,71060.0,002020.SZ,7379196960.0,99.999%
662,郑煤机,2,71040.0,601717.SH,9944385663.8,99.999%
663,中金岭南,2,70400.0,000060.SZ,12886564030.47,99.999%
664,中洲控股,2,69920.0,000042.SZ,6116446478.799999,99.999%
665,柳工,2,69760.0,000528.SZ,9401619165.119999,99.999%
666,深圳能源,2,68480.0,000027.SZ,21328964791.86,100.0%
667,淮北矿业,1,67760.00000000001,600985.SH,17770332082.3,100.0%
668,恒逸石化,1,66300.00000000001,000703.SZ,33816533140.600002,100.0%
669,阳 光 城,1,66130.00000000001,000671.SZ,27395563609.15,100.0%
670,阳光照明,1,66080.00000000001,600261.SH,5532512163.3,99.999%
671,东方航空,1,64090.00000000001,600115.SH,68302553376.51001,100.0%
672,创科实业,2,60800.0,,,nan%
673,富煌钢构,2,60600.0,002743.SZ,2387913748.0000005,99.997%
674,常山北明,2,59400.0,000158.SZ,16481738393.51,100.0%
675,中远海控,2,58400.0,601919.SH,49773688661.619995,100.0%
676,康达新材,2,57810.0,002669.SZ,3635898062.4,99.998%
677,石药集团,2,57600.0,,,nan%
678,厦门港务,2,56990.0,000905.SZ,3926202758.1600003,99.999%
679,吉利汽车,2,55520.0,,,nan%
680,方大特钢,2,55040.00000000001,600507.SH,11596641032.16,100.0%
681,中原高速,2,54120.0,600020.SH,8652381553.2,99.999%
682,中科电气,1,54020.0,300035.SZ,4500240712.24,99.999%
683,飞荣达,2,51250.0,300602.SZ,15189585840.0,100.0%
684,美联新材,1,51060.0,300586.SZ,4279199999.9999995,99.999%
685,通宇通讯,2,50840.0,002792.SZ,10246693265.999998,100.0%
686,中国生物制药,2,50720.0,,,nan%
687,掌阅科技,2,48450.0,603533.SH,8617490000.0,99.999%
688,华数传媒,1,47040.0,000156.SZ,14347852539.02,100.0%
689,人福医药,2,46800.0,600079.SH,18410378507.2,100.0%
690,华西证券,2,46080.0,002926.SZ,29557500000.0,100.0%
691,利亚德,2,46080.0,300296.SZ,17596705905.92,100.0%
692,能科股份,1,45510.0,603859.SH,4441741256.400001,99.999%
693,药明生物,2,44960.0,,,nan%
694,信隆健康,1,44770.0,002105.SZ,1982530000.0,99.998%
695,兆驰股份,1,44520.0,002429.SZ,21684045507.53,100.0%
696,深科技,1,44100.0,000021.SZ,28542431642.199997,100.0%
697,通富微电,1,44100.0,002156.SZ,25381500584.0,100.0%
698,隆盛科技,1,44030.0,300680.SZ,1768642759.8,99.998%
699,皖维高新,2,43920.0,600063.SH,7761355608.76,99.999%
700,富祥股份,2,43680.0,300497.SZ,7550566540.96,99.999%
701,北斗星通,1,43680.0,002151.SZ,14041251273.82,100.0%
702,鲁西化工,2,43560.0,000830.SZ,11850723694.02,100.0%
703,大庆华科,1,42920.0,000985.SZ,1742354880.0,99.998%
704,希努尔,1,42920.0,002485.SZ,2861440000.0,99.999%
705,华夏航空,1,42920.0,002928.SZ,6974707500.0,99.999%
706,东方通,4,42040.0,300379.SZ,13865436985.4,100.0%
707,航天动力,2,41040.0,600343.SH,5284348561.44,99.999%
708,航天长峰,2,40080.0,600855.SH,5059693411.37,99.999%
709,同济科技,2,39119.99999999999,600846.SH,5335463346.639999,99.999%
710,太阳能,2,38880.00000000001,000591.SZ,10314346249.760002,100.0%
711,海螺创业,2,38720.0,,,nan%
712,柳钢股份,2,35460.0,601003.SH,12890849796.0,100.0%
713,张江高科,2,34200.0,600895.SH,19668357284.999996,100.0%
714,山西证券,2,33300.0,002500.SZ,21187151395.970005,100.0%
715,蓝思科技,2,32970.0,300433.SZ,68914237652.04001,100.0%
716,西藏珠峰,2,32800.0,600338.SH,7551375987.679999,100.0%
717,钱江摩托,2,32550.0,000913.SZ,4458258880.0,99.999%
718,运达科技,2,32550.0,300440.SZ,4811520000.0,99.999%
719,华工科技,2,32400.0,000988.SZ,23056177071.51,100.0%
720,深振业Ａ,2,32200.0,000006.SZ,6236977112.5199995,99.999%
721,粤宏远Ａ,2,32200.0,000573.SZ,1777521854.96,99.998%
722,华东数控,2,32200.0,002248.SZ,2613712600.0,99.999%
723,青龙管业,2,32200.0,002457.SZ,2646436800.0,99.999%
724,宏达矿业,2,32200.0,600532.SH,1635928332.3999999,99.998%
725,东百集团,2,31850.0,600693.SH,4733667609.96,99.999%
726,亚太科技,1,31640.0,002540.SZ,5742793339.999999,99.999%
727,格林美,2,31500.0,002340.SZ,19793753574.21,100.0%
728,华润水泥控股,1,30380.000000000004,,,nan%
729,株冶集团,1,29960.000000000004,600961.SH,3185845800.56,99.999%
730,宏创控股,1,29400.000000000004,002379.SZ,3399888000.0,99.999%
