,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
45,爱尔眼科,54,892993600000.0,300015.SZ,111861963406.97,-698.3%
46,保利地产,18,848195800000.0,600048.SH,172904463097.38,-390.557%
47,宁德时代,44,827280300000.0,300750.SZ,255865189242.0,-223.327%
48,立讯精密,42,819638300000.0,002475.SZ,204438846426.36,-300.921%
49,中炬高新,68,819634300000.0,600872.SH,33060443551.0,-2379.199%
50,安琪酵母,10,804329600000.0001,600298.SH,26123365893.1,-2978.966%
51,新 希 望,102,782848900000.0,000876.SZ,119018103704.07,-557.756%
52,工商银行,39,760586100000.0,601398.SH,1810543786012.12,57.991%
53,老板电器,11,754162699999.9999,002508.SZ,25054234920.0,-2910.121%
54,民生银行,54,752705100000.0,600016.SH,245181543611.19998,-206.999%
55,中国太保,22,741322900000.0,601601.SH,246486400000.0,-200.756%
56,交通银行,39,709475300000.0,601328.SH,377997278623.05,-87.693%
57,药明康德,26,708528000000.0,603259.SH,152200843627.58002,-365.522%
58,宁波银行,35,698322400000.0,002142.SZ,129845562210.96,-437.81%
59,完美世界,43,689328800000.0,002624.SZ,62036571405.170006,-1011.165%
60,泰格医药,49,687489900000.0,300347.SZ,50647575003.81999,-1257.399%
61,浦发银行,49,665430200000.0,600000.SH,296162491205.73,-124.684%
62,海尔智家,21,658902400000.0,600690.SH,96127468420.47,-585.447%
63,通策医疗,18,639441800000.0,600763.SH,30880838400.0,-1970.675%
64,中航飞机,8,638790500000.0,000768.SZ,48063678432.56,-1229.05%
65,农业银行,25,617242200000.0,601288.SH,1168943333135.82,47.197%
66,中航光电,12,616432900000.0,002179.SZ,37232682349.5,-1555.623%
67,乐普医疗,48,597113500000.0,300003.SZ,64976882028.869995,-818.963%
68,海格通信,10,557866400000.0,002465.SZ,27848324067.2,-1903.232%
69,航发动力,7,547453100000.0,600893.SH,52308883462.5,-946.578%
70,中国国旅,57,495644200000.0,601888.SH,147607151126.4,-235.786%
71,华帝股份,12,472849800000.0,002035.SZ,9257302950.6,-5007.857%
72,华测检测,6,440244200000.0,300012.SZ,24382276802.94,-1705.591%
73,山东药玻,14,438517600000.0,600529.SH,18860477579.899998,-2225.061%
74,海康威视,37,426557200000.0,002415.SZ,271752911039.68,-56.965%
75,卫 士 通,8,424198500000.0,002268.SZ,21268585030.359997,-1894.484%
76,青岛啤酒,18,422441400000.0,600600.SH,52958525564.00001,-697.683%
77,三一重工,15,421354700000.0,600031.SH,133977315327.3,-214.497%
78,丽珠集团,6,410943000000.0,000513.SZ,32888335008.550003,-1149.51%
79,中国人寿,13,400080400000.0,601628.SH,715097036500.0,44.052%
80,中直股份,9,399403100000.0,600038.SH,24640126728.8,-1520.946%
81,紫金矿业,24,393095700000.0,601899.SH,87805319413.16,-347.69%
82,星宇股份,12,383903500000.0,601799.SH,24044836050.239998,-1496.615%
83,康泰生物,17,379852600000.0,300601.SZ,64689848436.600006,-487.19%
84,健帆生物,23,372413200000.0,300529.SZ,37805301408.0,-885.082%
85,隆基股份,14,356123200000.0,601012.SH,90754723173.42,-292.402%
86,中国动力,6,355345700000.0,600482.SH,27458934584.399998,-1194.099%
87,顾家家居,11,350941500000.0,603816.SH,21996289894.35,-1495.458%
88,中航沈飞,6,349615400000.0,600760.SH,38216623587.65,-814.825%
89,大华股份,5,348843200000.0,002236.SZ,51978088454.4,-571.135%
90,航天电子,6,341665300000.0,600879.SH,18355081167.0,-1761.421%
91,中国神华,9,337693300000.0,601088.SH,296156448574.95,-14.025%
92,海螺水泥,25,330807300000.0,600585.SH,280174127351.73,-18.072%
93,圣农发展,15,320655600000.0,002299.SZ,25707227917.920002,-1147.336%
94,万华化学,14,307509600000.0,600309.SH,127379520616.82,-141.412%
95,腾讯控股,5,303508000000.00006,,,nan%
96,北京银行,16,297949000000.0,601169.SH,102120614033.75998,-191.762%
97,家家悦,32,297434600000.0,603708.SH,17637516000.0,-1586.375%
98,芒果超媒,10,295349600000.0,300413.SZ,78122965182.68001,-278.057%
99,美年健康,11,293123400000.0,002044.SZ,44687099103.600006,-555.946%
100,绝味食品,11,284833700000.0,603517.SH,28423053456.5,-902.122%
101,大秦铁路,15,284544400000.0,601006.SH,100945514223.89,-181.879%
102,中兴通讯,14,282723500000.0,000063.SZ,193150823467.08002,-46.374%
103,中国铁建,18,264193300000.0,601186.SH,132943711284.99998,-98.726%
104,沃森生物,29,264095900000.0,300142.SZ,46568966245.36,-467.107%
105,兴业证券,42,261949400000.0,601377.SH,42925665430.340004,-510.24%
106,汤臣倍健,13,260475200000.0,300146.SZ,27155572226.64,-859.196%
107,中国中车,14,260178700000.0,601766.SH,181663809677.04,-43.22%
108,恒力石化,7,254099000000.0,600346.SH,91578688215.86,-177.465%
109,重庆啤酒,8,250579200000.0,600132.SH,20844639497.86,-1102.128%
110,亿纬锂能,18,247329400000.00003,300014.SZ,57373069944.00001,-331.09%
111,京东方Ａ,18,246636400000.0,000725.SZ,146153274804.6,-68.752%
112,中国中铁,14,240180700000.0,601390.SH,131700180956.87999,-82.369%
113,安图生物,2,236814800000.0,603658.SH,45217610423.990005,-423.723%
114,天齐锂业,17,236173000000.0,002466.SZ,34298247673.26,-588.586%
115,信维通信,26,234806800000.0,300136.SZ,36759886709.700005,-538.758%
116,贝达药业,4,232511200000.0,300558.SZ,26586300000.0,-774.553%
117,汇川技术,18,231436300000.0,300124.SZ,42582361755.03999,-443.503%
118,迈克生物,18,230242700000.00003,300463.SZ,15119226396.4,-1422.847%
119,中南建设,6,227437700000.0,000961.SZ,27435415672.64,-728.993%
120,祥生医疗,8,225907199999.99997,688358.SH,5227200000.0,-4221.763%
121,普利制药,27,225488800000.0,300630.SZ,17090360919.0,-1219.392%
122,山东黄金,11,223098900000.0,600547.SH,93298310123.2,-139.124%
123,仙坛股份,8,222976000000.0,002746.SZ,6755999885.27,-3200.415%
124,珠江啤酒,8,211593600000.0,002461.SZ,13833303000.0,-1429.596%
125,万科企业,3,208970600000.00003,,,nan%
126,建设银行,16,208173000000.0,601939.SH,1580069377711.52,86.825%
127,昭衍新药,16,208128000000.0,603127.SH,10689488412.0,-1847.034%
128,新华保险,9,194070900000.0,601336.SH,123159699767.99997,-57.577%
129,金地集团,11,193800400000.0,600383.SH,57922107228.76,-234.588%
130,华熙生物,8,189655199999.99997,688363.SH,38404800000.0,-393.832%
131,三七互娱,14,184863600000.0,002555.SZ,73907686878.03,-150.128%
132,东阳光,3,176913400000.0,600673.SH,21700060264.8,-715.267%
133,康龙化成,2,176309400000.0,300759.SZ,41864219247.4,-321.146%
134,太阳纸业,12,174600400000.0,002078.SZ,24466324668.64,-613.636%
135,金域医学,7,173735500000.0,603882.SH,23535267257.8,-638.192%
136,我武生物,5,172845900000.0,300357.SZ,21294161280.0,-711.706%
137,南极电商,32,171450800000.0,002127.SZ,25530652191.2,-571.549%
138,敏华控股,3,168508800000.0,,,nan%
139,洛阳钼业,10,167784400000.0,603993.SH,77325281287.14,-116.985%
140,蒙娜丽莎,9,165790799999.99997,002918.SZ,8795807820.0,-1784.884%
141,天康生物,8,162406400000.0,002100.SZ,11882661047.65,-1266.751%
142,通化东宝,6,157117300000.0,600867.SH,21397559198.84,-634.277%
143,爱朋医疗,8,152639999999.99997,300753.SZ,3156048000.0,-4736.428%
144,分众传媒,18,152582900000.0,002027.SZ,63702000415.2,-139.526%
145,华友钴业,14,150224600000.0,603799.SH,34874576597.6,-330.757%
146,凯莱英,11,148432400000.0,002821.SZ,39450658621.0,-276.248%
147,国药一致,3,144137200000.0,000028.SZ,16876765669.859999,-754.057%
148,欣旺达,10,141935300000.0,300207.SZ,24964943116.21,-468.538%
149,赣锋锂业,12,140973100000.0,002460.SZ,52182590692.53999,-170.154%
150,药石科技,4,139410100000.0,300725.SZ,10857764679.99,-1183.967%
151,南微医学,3,136687300000.0,688029.SH,21507742000.0,-535.526%
152,中国石化,15,135036500000.0,600028.SH,546031155503.45996,75.269%
153,集友股份,15,132100400000.0,603429.SH,9090427064.85,-1353.181%
154,长江电力,23,130207900000.0,600900.SH,362779999999.99994,64.108%
155,启明星辰,10,128904200000.0,002439.SZ,33357309415.2,-286.435%
156,韦尔股份,7,128182500000.0,603501.SH,125857653392.51999,-1.847%
157,潍柴动力,16,126723400000.0,000338.SZ,99966811077.00002,-26.765%
158,顺丰控股,2,125434599999.99998,002352.SZ,199703425975.56,37.19%
159,宋城演艺,20,123694300000.0,300144.SZ,40019344890.0,-209.086%
160,复星医药,6,123443500000.0,600196.SH,75759280990.2,-62.942%
161,视源股份,1,121842399999.99998,002841.SZ,52577493840.63,-131.739%
162,老百姓,6,117669600000.0,603883.SH,20675904879.960003,-469.115%
163,兆易创新,5,116723900000.0,603986.SH,87899043761.8,-32.793%
164,华东医药,1,113774100000.0,000963.SZ,29081834687.760002,-291.221%
165,方大特钢,4,113686500000.0,600507.SH,11596641032.16,-880.34%
166,海螺创业,1,109692000000.0,,,nan%
167,华侨城Ａ,8,109101300000.0,000069.SZ,48968963297.549995,-122.797%
168,北方稀土,5,108686400000.0,600111.SH,31716666180.0,-242.679%
169,中信特钢,20,106933300000.0,000708.SZ,77666630716.32,-37.682%
170,林洋能源,4,106777999999.99998,601222.SH,9913263650.4,-977.123%
171,歌尔股份,10,106050900000.0,002241.SZ,55231669194.96,-92.011%
172,智飞生物,11,105429099999.99998,300122.SZ,95504000000.0,-10.392%
173,国瓷材料,2,105081700000.0,300285.SZ,20615498662.6,-409.722%
174,健友股份,13,104978600000.0,603707.SH,33588673010.75,-212.542%
175,中国铝业,5,104632300000.0,601600.SH,50387111934.96,-107.657%
176,光环新网,16,100441499999.99998,300383.SZ,40471664920.95999,-148.177%
177,广联达,2,100426500000.0,002410.SZ,46229629499.0,-117.234%
178,生物股份,12,99079800000.0,600201.SH,22220719954.93,-345.889%
179,欧普照明,3,97811199999.99997,603515.SH,18349667333.85,-433.041%
180,正邦科技,2,96259400000.00002,002157.SZ,46074962751.52,-108.919%
181,海信家电,3,94086800000.0,,,nan%
182,广汽集团,1,94018400000.0,,,nan%
183,健康元,1,93837400000.0,600380.SH,21591348611.159996,-334.606%
184,东方雨虹,5,93626400000.0,002271.SZ,48500177593.4,-93.043%
185,地素时尚,3,92396400000.0,603587.SH,8441050000.0,-994.608%
186,三钢闽光,4,92175500000.0,002110.SZ,19588094141.62,-370.569%
187,格林美,6,91873200000.0,002340.SZ,19793753574.21,-364.152%
188,帝欧家居,1,91164100000.0,002798.SZ,8765552042.28,-940.027%
189,招商蛇口,8,90142000000.0,001979.SZ,134100564824.38,32.78%
190,浪潮信息,4,89302299999.99998,000977.SZ,51028600928.18,-75.004%
191,华夏幸福,9,89214300000.0,600340.SH,65026709916.21999,-37.196%
192,汇顶科技,5,88809499999.99998,603160.SH,121766534946.0,27.066%
193,TCL科技,6,87949100000.0,000100.SZ,67506909207.810005,-30.282%
194,洽洽食品,7,87102400000.0,002557.SZ,20031570000.0,-334.826%
195,华润置地,1,86808400000.0,,,nan%
196,光大银行,16,86188300000.0,601818.SH,187386911323.71,54.005%
197,三花智控,4,85463300000.0,002050.SZ,48255648880.09999,-77.105%
198,星源材质,1,85373999999.99998,300568.SZ,7140864317.38,-1095.57%
199,生益科技,4,83316500000.0,600183.SH,66692406262.0,-24.927%
200,邮储银行,33,81926300000.0,601658.SH,457507237172.0,82.093%
201,玲珑轮胎,7,80663600000.0,601966.SH,24360287305.9,-231.127%
202,大族激光,2,79451400000.0,002008.SZ,31371836391.0,-153.257%
203,万润股份,4,79426900000.0,002643.SZ,13264253606.85,-498.804%
204,旗滨集团,12,78914000000.0,601636.SH,13193921917.4,-498.109%
205,中国长城,14,77373300000.0,000066.SZ,38564157638.009995,-100.635%
206,闻泰科技,23,77367100000.0,600745.SH,135221255192.7,42.785%
207,锐科激光,1,76793500000.0,300747.SZ,16711680000.000002,-359.52%
208,国电南瑞,4,76638700000.0,600406.SH,91791744645.48,16.508%
209,大参林,2,75975400000.0,603233.SH,31805174191.75,-138.877%
210,鹏鼎控股,1,74125000000.0,002938.SZ,78403733278.72,5.457%
211,新 和 成,4,73043500000.0,002001.SZ,58572534298.0,-24.706%
212,金山办公,6,72248400000.0,688111.SH,105108000000.0,31.263%
213,桐昆股份,10,71867400000.0,601233.SH,23690472932.92,-203.36%
214,华兰生物,11,70269200000.0,002007.SZ,60612149664.00001,-15.933%
215,顺络电子,5,68314800000.00001,002138.SZ,17730940604.46,-285.286%
216,蓝光发展,10,66976300000.0,600466.SH,18014845889.300003,-271.784%
217,金山软件,1,66701600000.0,,,nan%
218,韵达股份,9,65863100000.0,002120.SZ,60955723493.84,-8.051%
219,金陵体育,1,65306800000.00001,300651.SZ,3398914992.0,-1821.401%
220,柳钢股份,4,65182200000.0,601003.SH,12890849796.0,-405.647%
221,国恩股份,3,63653500000.0,002768.SZ,10055237500.0,-533.038%
222,山西证券,4,62859000000.0,002500.SZ,21187151395.970005,-196.685%
223,欧普康视,1,62609000000.0,300595.SZ,20919819756.0,-199.281%
224,金钼股份,5,62407200000.0,601958.SH,19746818928.0,-216.037%
225,卫宁健康,9,62323300000.00001,300253.SZ,37630511188.78,-65.619%
226,南钢股份,5,62074400000.00001,600282.SH,13864471020.41,-347.723%
227,恒生电子,6,61123700000.0,600570.SH,71383681717.92,14.373%
228,伟明环保,4,60896500000.0,603568.SH,27170657771.73,-124.126%
229,陕西煤业,6,59353400000.0,601225.SH,69500000000.0,14.599%
230,北新建材,4,58782000000.0,000786.SZ,43217610598.36,-36.014%
231,联化科技,8,57892000000.0,002250.SZ,13211456200.800003,-338.195%
232,光明乳业,9,56866000000.0,600597.SH,12514262341.980001,-354.41%
233,隧道股份,13,56002400000.0,600820.SH,17795583892.04,-214.698%
234,洲明科技,2,55518600000.0,300232.SZ,9364435491.07,-492.866%
235,杰瑞股份,16,53470400000.0,002353.SZ,24530640735.12,-117.974%
236,杰克股份,1,53438000000.0,603337.SH,8241152673.600001,-548.429%
237,慈文传媒,1,53385600000.00001,002343.SZ,4227052205.4,-1162.951%
238,南京银行,7,53328200000.0,601009.SH,61411185369.76,13.162%
239,四维图新,4,52366200000.000015,002405.SZ,34366586738.4,-52.375%
240,天地科技,2,52105000000.0,600582.SH,12581310231.679998,-314.146%
241,华新水泥,9,51957600000.0,600801.SH,48641116636.0,-6.818%
242,立思辰,2,51667800000.0,300010.SZ,16281087131.25,-217.349%
243,威高股份,2,51399599999.999985,,,nan%
244,九洲药业,3,51234799999.99999,603456.SH,15968228193.22,-220.855%
245,江海股份,1,51019000000.0,002484.SZ,7858098451.240001,-549.254%
246,卧龙电驱,10,50632800000.0,600580.SH,14625618226.64,-246.193%
247,吉祥航空,2,50266000000.0,603885.SH,20113654726.110004,-149.91%
248,博腾股份,2,50260199999.99999,300363.SZ,14263405167.24,-252.372%
249,天能重工,2,50233100000.0,300569.SZ,2958986700.0,-1597.645%
250,大博医疗,18,50189300000.0,002901.SZ,25555901803.0,-96.39%
251,片仔癀,10,49608500000.0,600436.SH,72850553107.5,31.904%
252,广深铁路,8,49232000000.0,601333.SH,17071324170.000002,-188.39%
253,特锐德,8,48797600000.0,300001.SZ,20948971575.000004,-132.936%
254,旷达科技,2,48403400000.0,002516.SZ,4544891527.38,-965.007%
255,华鲁恒升,21,48170500000.0,600426.SH,25636157660.0,-87.901%
256,益丰药房,3,47893600000.0,603939.SH,31393729622.1,-52.558%
257,新城控股,4,46225000000.0,601155.SH,65422434152.14,29.344%
258,光线传媒,24,46125100000.0,300251.SZ,27399902754.88,-68.34%
259,天坛生物,3,44911400000.0,600161.SH,36566930908.85999,-22.82%
260,东睦股份,2,44733000000.0,600114.SH,6109416266.67,-632.198%
261,颐海国际,16,44656800000.0,,,nan%
262,当升科技,3,44195000000.0,300073.SZ,10219312888.199999,-332.465%
263,海信视像,2,44136000000.0,600060.SH,13673628769.9,-222.782%
264,仙琚制药,1,43630400000.0,002332.SZ,11580921778.24,-276.744%
265,国机汽车,2,43523000000.0,600335.SH,7532045564.67,-477.838%
266,中国软件,4,43245700000.0,600536.SH,39520511909.619995,-9.426%
267,内蒙一机,8,42571200000.0,600967.SH,16541495488.429996,-157.36%
268,中国石油,5,42384100000.0,601857.SH,898633001086.3801,95.283%
269,东山精密,17,42275799999.99999,002384.SZ,37176087117.78,-13.718%
270,金达威,5,41220800000.0,002626.SZ,12865977816.49,-220.386%
271,美团点评-W,4,41207400000.0,,,nan%
272,中信银行,9,41121900000.0,601998.SH,255929087413.27002,83.932%
273,吉宏股份,1,41024000000.0,002803.SZ,6815819063.380001,-501.894%
274,中国银行,5,40506200000.0,601988.SH,1030357269343.5,96.069%
275,长信科技,2,40129500000.0,300088.SZ,23736564917.44,-69.062%
276,美锦能源,4,39887200000.0,000723.SZ,29063775038.68,-37.24%
277,依顿电子,2,37941900000.0,603328.SH,10921315628.699999,-247.411%
278,中航高科,2,37570500000.0,600862.SH,17914611516.02,-109.72%
279,中国财险,2,36837300000.0,,,nan%
280,华联控股,3,36831600000.0,000036.SZ,5208608427.75,-607.129%
281,龙蟒佰利,4,36467100000.0,002601.SZ,29261100801.600002,-24.627%
282,兖州煤业,3,35704400000.0,600188.SH,42046856960.0,15.084%
283,荣盛发展,3,35532500000.0,002146.SZ,32785155436.54,-8.38%
284,西山煤电,3,35199000000.0,000983.SZ,15440880000.000002,-127.96%
285,爱建集团,9,34523100000.00001,600643.SH,13072694963.12,-164.086%
286,司太立,16,34344000000.0,603520.SH,9333471388.92,-267.966%
287,绿地控股,5,34150000000.0,600606.SH,65464670591.299995,47.834%
288,金风科技,3,33496800000.0,002202.SZ,39926889264.149994,16.105%
289,神州高铁,8,33448800000.0,000008.SZ,9093200781.42,-267.844%
290,云南白药,10,32833300000.0,000538.SZ,97976834413.90001,66.489%
291,康力电梯,8,32805100000.0,002367.SZ,6716235624.54,-388.445%
292,通威股份,8,32767200000.000004,600438.SH,56899844926.68,42.412%
293,鱼跃医疗,2,32158000000.0,002223.SZ,29462796943.31,-9.148%
294,中文传媒,6,31887300000.000008,600373.SH,17371916877.58,-83.557%
295,比音勒芬,1,31838400000.0,002832.SZ,5955898116.0,-434.569%
296,齐心集团,1,30444800000.0,002301.SZ,10393724601.84,-192.915%
297,华策影视,1,30444800000.0,300133.SZ,13588914445.74,-124.041%
298,贵阳银行,5,30365000000.0,601997.SH,25036262974.8,-21.284%
299,中国人保,5,29941900000.0,601319.SH,280822340202.05,89.338%
300,荣泰健康,2,29848100000.0,603579.SH,3662400000.0,-714.987%
301,沪电股份,18,27855400000.0,002463.SZ,44670179701.7,37.642%
302,上汽集团,23,27404000000.000004,600104.SH,222569939003.25,87.687%
303,天顺风能,1,27335999999.999996,002531.SZ,9962506663.2,-174.389%
304,国药股份,4,27291100000.0,600511.SH,19232281419.019997,-41.903%
305,阳泉煤业,2,27090400000.0,600348.SH,11063000000.0,-144.874%
306,绿城服务,16,26716800000.0,,,nan%
307,马钢股份,2,26612400000.0,600808.SH,20637825578.48,-28.95%
308,安科生物,1,26578000000.0,300009.SZ,15103598982.84,-75.971%
309,再升科技,1,26371200000.0,603601.SH,7913707169.12,-233.234%
310,常熟银行,18,26300000000.000004,601128.SH,19103765797.250004,-37.669%
311,滨江集团,1,26024599999.999996,002244.SZ,13005835460.2,-100.099%
312,江苏银行,7,25999500000.0,600919.SH,69844224885.05,62.775%
313,科伦药业,2,25973999999.999996,002422.SZ,29889958605.600002,13.101%
314,长安汽车,4,25724000000.0,000625.SZ,50091623969.729996,48.646%
315,江苏租赁,3,25444500000.000004,600901.SH,15500713333.920002,-64.151%
316,拉卡拉,2,25337600000.0,300773.SZ,31488787200.0,19.535%
317,宇通客车,3,25184200000.0,600066.SH,28072749347.64,10.29%
318,中联重科,3,24727900000.0,000157.SZ,44011605243.19,43.815%
319,九鼎投资,2,24652800000.0,600053.SH,10621749600.0,-132.097%
320,宝泰隆,2,24516400000.0,601011.SH,5539757413.68,-342.554%
321,中材国际,1,24311700000.000004,600970.SH,10367860163.88,-134.491%
322,云南铜业,2,24126900000.000004,000878.SZ,16588862745.6,-45.44%
323,华大基因,3,23817900000.0,300676.SZ,29719428000.0,19.857%
324,锦江酒店,4,23468500000.0,600754.SH,24312426847.2,3.471%
325,坚朗五金,1,23369600000.000004,002791.SZ,16102723200.0,-45.128%
326,万达电影,3,23017600000.0,002739.SZ,34501909580.8,33.286%
327,星徽精密,2,22598400000.0,300464.SZ,4608244383.75,-390.391%
328,中科创达,1,22326200000.0,300496.SZ,23599460137.11,5.395%
329,苏 泊 尔,2,21616800000.0,002032.SZ,53865466095.99999,59.869%
330,奥飞娱乐,2,21571200000.0,002292.SZ,9554403056.000002,-125.772%
331,中顺洁柔,1,21509000000.0,002511.SZ,19934414087.79,-7.899%
332,绿盟科技,1,21157500000.0,300369.SZ,17183473241.329998,-23.127%
333,新国都,7,21118700000.0,300130.SZ,7274170231.01,-190.325%
334,中国巨石,2,20986900000.0,600176.SH,28053477860.489998,25.19%
335,泰胜风能,2,20672000000.0,300129.SZ,3250572717.12,-535.949%
336,晨光文具,2,20610299999.999996,603899.SH,39928000000.0,48.381%
337,上海莱士,1,20460799999.999996,002252.SZ,40244692780.909996,49.159%
338,以岭药业,4,20276800000.0,002603.SZ,20691903188.97,2.006%
339,紫光国微,12,20220100000.0,002049.SZ,34030351645.44,40.582%
340,万孚生物,3,20047000000.0,300482.SZ,22902183414.989998,12.467%
341,海王生物,2,19895200000.0,000078.SZ,13232773801.03,-50.348%
342,济民制药,2,19895200000.0,603222.SH,16672000000.0,-19.333%
343,昆仑万维,4,19843000000.0,300418.SZ,22324298297.760002,11.115%
344,水晶光电,7,19729500000.0,002273.SZ,17522535097.48,-12.595%
345,雅戈尔,3,19390400000.0,600177.SH,32641311173.94,40.596%
346,明泰铝业,4,18662500000.0,601677.SH,6298538098.860001,-196.299%
347,紫光股份,1,18618600000.0,000938.SZ,78161897138.95999,76.179%
348,露天煤业,3,18606400000.0,002128.SZ,14334938257.78,-29.798%
349,太平洋,22,18469599999.999996,601099.SH,23584454640.2,21.687%
350,瀚蓝环境,5,18344400000.0,600323.SH,15685424448.460001,-16.952%
351,长电科技,10,18336900000.0,600584.SH,38372816846.700005,52.214%
352,中公教育,1,18018000000.0,002607.SZ,148140933323.77997,87.837%
353,心脉医疗,1,17989200000.0,688016.SH,10902529926.09,-65.0%
354,宇华教育,1,17791200000.0,,,nan%
355,潞安环能,2,17331600000.0,601699.SH,17350173360.0,0.107%
356,久立特材,3,17222000000.0,002318.SZ,6505087217.190001,-164.747%
357,正泰电器,5,17087900000.0,601877.SH,50552382225.51,66.198%
358,科大讯飞,8,17006300000.0,002230.SZ,79654374677.40999,78.65%
359,徐工机械,5,16916200000.0,000425.SZ,40500065783.1,58.232%
360,祁连山,11,16742600000.0,600720.SH,9773494650.38,-71.306%
361,盘江股份,1,16462800000.0,600395.SH,9003482123.84,-82.849%
362,冀东水泥,9,16437500000.0,000401.SZ,27354715154.199997,39.91%
363,金科股份,1,16258800000.0,000656.SZ,38926528298.64,58.232%
364,葛洲坝,2,16145500000.000002,600068.SH,31036199756.88,47.978%
365,山西焦化,1,16140000000.0,600740.SH,8292782669.4,-94.627%
366,云煤能源,1,16086200000.0,600792.SH,2999468508.0,-436.302%
367,陕西黑猫,1,16086200000.0,601015.SH,4302644208.72,-273.868%
368,吉比特,10,15696499999.999998,603444.SH,29128858862.16,46.114%
369,中国联通,3,15377600000.0,600050.SH,164124935664.23,90.631%
370,云海金属,1,15372000000.0,002182.SZ,6606438338.360001,-132.682%
371,宁沪高速,4,15260600000.0,600377.SH,47102939125.0,67.602%
372,良信电器,2,15133000000.0,002706.SZ,8517422623.5,-77.671%
373,中煤能源,1,15043600000.0,601898.SH,54360519939.99999,72.326%
374,天茂集团,2,14888300000.0,000627.SZ,29791993864.95,50.026%
375,白云山,6,14854200000.0,,,nan%
376,中国广核,14,14752800000.0,003816.SZ,148465916634.0,90.063%
377,张  裕Ａ,1,14593500000.000002,000869.SZ,15628579200.0,6.623%
378,上海银行,6,13835900000.0,601229.SH,115641143618.00003,88.035%
379,香飘飘,1,13386500000.0,603711.SH,10914265710.0,-22.651%
380,威海广泰,1,13293000000.0,002111.SZ,5658683609.28,-134.913%
381,浙商银行,14,12808800000.0,601916.SH,86350908918.68,85.167%
