,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
0,贵州茅台,340,40143804500000.0,600519.SH,1300516458384.0,-2986.759%
1,五 粮 液,274,35633881900000.0,000858.SZ,421193284622.55005,-8360.221%
2,泸州老窖,115,29986174300000.0,000568.SZ,100555257477.40001,-29720.593%
3,格力电器,230,21963883300000.004,000651.SZ,310231241378.46,-6979.843%
4,顺鑫农业,76,21078751600000.0,000860.SZ,40203770803.8,-52329.788%
5,山西汾酒,73,18943403500000.0,600809.SH,72528582296.52,-26018.535%
6,美的集团,202,18405999400000.0,000333.SZ,342636126201.89996,-5271.879%
7,古井贡酒,51,17319727300000.0,000596.SZ,53311096000.0,-32388.035%
8,中信证券,191,15496452200000.0,600030.SH,292920744817.14,-5190.323%
9,洋河股份,87,15280169700000.0,002304.SZ,125848567880.00002,-12041.711%
10,伊利股份,178,10516755900000.0,600887.SH,172832340624.30002,-5984.947%
11,海通证券,74,9241117700000.0,600837.SH,151707423000.0,-5991.408%
12,中国平安,167,6779288200000.0,601318.SH,1261336657290.0,-437.469%
13,华泰证券,88,6536723600000.0,601688.SH,158478309000.0,-4024.68%
14,东方财富,108,6116718700000.0,300059.SZ,113359474096.4,-5295.86%
15,国泰君安,80,6044020800000.0,601211.SH,145110480511.13998,-4065.117%
16,招商银行,143,5446360900000.0,600036.SH,782824007455.04,-595.732%
17,口子窖,34,4748886400000.0,603589.SH,22800000000.0,-20728.449%
18,今世缘,59,4601942700000.0,603369.SH,33746050000.0,-13536.982%
19,招商证券,82,3811288600000.0,600999.SH,112282100354.04001,-3294.387%
20,恒瑞医药,158,3765534800000.0,600276.SH,354532786031.51996,-962.112%
21,申万宏源,66,3344619000000.0,000166.SZ,113681348302.39998,-2842.1%
22,兴业银行,132,3213293200000.0,601166.SH,319922537565.4,-904.397%
23,东阿阿胶,11,3154200900000.0,000423.SZ,16939157808.3,-18520.766%
24,广发证券,45,2930293800000.0,000776.SZ,105323431516.48,-2682.186%
25,东方证券,82,2793839700000.0,600958.SH,66369793570.47,-4109.505%
26,方正证券,80,2576145600000.0,601901.SH,60012019169.55001,-4192.716%
27,长春高新,57,2286918700000.0,000661.SZ,93692747135.0,-2340.871%
28,海天味业,82,2267814200000.0,603288.SH,270144948773.6,-739.481%
29,双汇发展,53,2207140800000.0,000895.SZ,115511020211.99998,-1810.762%
30,水井坊,10,2206108800000.0,600779.SH,19878924451.62,-10997.727%
31,平安银行,48,2057030900000.0,000001.SZ,242962095838.96,-746.647%
32,安井食品,39,1928636400000.0,603345.SH,18175000541.61,-10511.479%
33,新经典,9,1630324000000.0,603096.SH,7091492280.0,-22889.858%
34,长城汽车,12,1483275400000.0,601633.SH,76577786910.0,-1836.953%
35,温氏股份,105,1416047000000.0,300498.SZ,167206320539.56,-746.886%
36,盈趣科技,9,1409432000000.0,002925.SZ,22567404983.999996,-6145.432%
37,牧原股份,131,1361515300000.0,002714.SZ,257277791177.4,-429.2%
38,迈瑞医疗,56,1216340000000.0,300760.SZ,286903138776.0,-323.955%
39,万  科Ａ,86,1211972800000.0,000002.SZ,291595289425.80005,-315.635%
40,桃李面包,12,1134250800000.0,603866.SH,28134022280.0,-3931.598%
41,中国建筑,12,1034291900000.0001,601668.SH,219112787091.41998,-372.036%
42,中国重工,10,982963400000.0,601989.SH,95768548360.8,-926.395%
43,春秋航空,10,912499800000.0,601021.SH,30297850914.649994,-2911.764%
44,海大集团,42,900138800000.0,002311.SZ,55043851516.02,-1535.312%
