,index,appeal_count,money_invested,stock_code,stock_mv,left_to_invest
0,恒瑞医药,870,4600409410.0,600276.SH,401989582365.33,98.856%
1,贵州茅台,308,4006516570.0,600519.SH,1351040733900.0,99.703%
2,洋河股份,152,3935117840.0,002304.SZ,129344780040.0,96.958%
3,五 粮 液,271,3925791750.0,000858.SZ,449529023059.05,99.127%
4,长春高新,807,3923167130.0,000661.SZ,107447166190.65001,96.349%
5,泸州老窖,177,3756217680.0,000568.SZ,109124059462.0,96.558%
6,迈瑞医疗,513,2407931780.0,300760.SZ,319520135442.77997,99.246%
7,泰格医药,564,2169536740.0,300347.SZ,51056457643.880005,95.751%
8,药明康德,532,2107755550.0,603259.SH,154050105342.3,98.632%
9,爱尔眼科,409,2027140100.0,300015.SZ,120257031832.14,98.314%
10,顺鑫农业,117,1811330000.0,000860.SZ,44506019340.0,95.93%
11,乐普医疗,310,1612883810.0,300003.SZ,68379839107.98,97.641%
12,山西汾酒,146,1556224620.0,600809.SH,78725148267.78,98.023%
13,通策医疗,321,1343253210.0,600763.SH,33115699200.0,95.944%
14,口子窖,99,1276811140.0,603589.SH,25320000000.0,94.957%
15,山东药玻,192,1068456040.0,600529.SH,20222953720.530003,94.717%
16,今世缘,101,1065084750.0,603369.SH,35740705000.0,97.02%
17,古井贡酒,52,1010997490.0,000596.SZ,57022628000.0,98.227%
18,凯莱英,254,914540290.0,002821.SZ,39527014734.46,97.686%
19,我武生物,144,853291990.0,300357.SZ,22147603200.0,96.147%
20,迈克生物,120,813294060.0,300463.SZ,16195585929.6,94.978%
21,万孚生物,152,799559130.0,300482.SZ,26695796618.7,97.005%
22,康泰生物,432,706835310.0,300601.SZ,74077812677.1,99.046%
23,水井坊,24,607066320.0,600779.SH,21061205040.78,97.118%
24,安图生物,140,600165380.0,603658.SH,49670044399.65,98.792%
25,普利制药,193,584228920.0,300630.SZ,18142709509.35,96.78%
26,中国平安,155,556257510.0,601318.SH,1274498431105.2,99.956%
27,健帆生物,254,548814030.0,300529.SZ,39408782076.799995,98.607%
28,贝达药业,71,545969050.0,300558.SZ,28182280000.0,98.063%
29,康龙化成,48,412948220.0,300759.SZ,45939426927.46,99.101%
30,中信证券,111,401385820.0,600030.SH,291757334974.53,99.862%
31,片仔癀,118,388037210.0,600436.SH,75269855119.6,99.484%
32,九洲药业,121,349529830.0,603456.SH,16322719636.460001,97.859%
33,通化东宝,98,345354030.0,600867.SH,21702657476.39,98.409%
34,招商银行,131,342419970.0,600036.SH,825193348064.72,99.959%
35,国药一致,25,330077440.0,000028.SZ,17330580271.839996,98.095%
36,沃森生物,183,326558800.0,300142.SZ,47860413311.92,99.318%
37,南微医学,74,321745570.0,688029.SH,22535793400.0,98.572%
